path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
tests/__pycache__/test_branch_summary_truth.cpython-311-pytest-9.0.3.pyc	file	30599	29.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_branch_truth_c34.cpython-311-pytest-9.0.3.pyc	file	53178	51.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_calibration.cpython-311-pytest-9.0.3.pyc	file	23202	22.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cli.cpython-311-pytest-9.0.3.pyc	file	11071	10.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle39_reports.cpython-311-pytest-9.0.3.pyc	file	15054	14.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle40_deploy.cpython-311-pytest-9.0.3.pyc	file	28377	27.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle41_empirical_bridge.cpython-311-pytest-9.0.3.pyc	file	42738	41.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle42_empirical_pilot_panel.cpython-311-pytest-9.0.3.pyc	file	29460	28.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle43_real_empirical_pilot.cpython-311-pytest-9.0.3.pyc	file	15566	15.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle44_real_input_staging.cpython-311-pytest-9.0.3.pyc	file	27155	26.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle46_ood_family_prefilter.cpython-311-pytest-9.0.3.pyc	file	24164	23.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle47_reference_eval.cpython-311-pytest-9.0.3.pyc	file	30020	29.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle48_reference_execution.cpython-311-pytest-9.0.3.pyc	file	23184	22.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_cycle49_babappa_only_handoff.cpython-311-pytest-9.0.3.pyc	file	20185	19.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_datasets.cpython-311-pytest-9.0.3.pyc	file	21945	21.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_external_aligners_and_site_maps.cpython-311-pytest-9.0.3.pyc	file	77022	75.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_external_tier_summary.cpython-311-pytest-9.0.3.pyc	file	14359	14.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_fast_external_10k_plan.cpython-311-pytest-9.0.3.pyc	file	16115	15.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_import.cpython-311-pytest-9.0.3.pyc	file	1977	1.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_large_run_plan.cpython-311-pytest-9.0.3.pyc	file	23022	22.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_leakage_and_stability.cpython-311-pytest-9.0.3.pyc	file	24226	23.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_mps_preflight_c37e.cpython-311-pytest-9.0.3.pyc	file	26347	25.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_neural_ablation_and_diagnostics.cpython-311-pytest-9.0.3.pyc	file	28980	28.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
